step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,0.02628016947765177,0.09190784520609441,1.048233334829019,1.9028373111176236,1.9961622539113777,2.9114292896353953,0.14156443778806457,0.1899,0.0,1.028,1.0,0.0001,0.0001,0.0003,0.0004,-0.002,-0.0002,0.003,-0.001,-0.0004,-0.0014,-0.0034,-0.0002,0.0061,-0.0027,-0.0005,-0.0016,0.0,0.0004,0.0001,0.0006,0.0,0.0001,-0.0004,-0.0004,-0.0005,0.0011,0.0006,0.0007,0.0004,-0.0005,-0.049,0.0121,0.0191,0.0527,0.1265,0.2918,0.1791,-0.9876,-0.0768,1.5149,-0.5069,-0.1882,-0.6876,-1.721,-0.0816,3.0618,-1.3307,-0.2596,-0.7822,-0.0237,0.177,0.0474,0.2945,0.0119,0.0463,-0.2084,-0.1806,-0.2444,0.5396,0.2819,0.372,0.2071,-0.2623,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.951439486006336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.598457299175545,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.107628835820245,6.71863211140619,9.401246013292353,9.903143353881198,-1.0,7.252085439617868,8.192388981872746,-1.0,9.133672615936543,-1.0,6.963382919069706,6.776614165888583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
2,0.004,0.03008584409988702,0.09590016971391717,1.0540365734082897,1.9028373111176236,1.9961622539113777,2.891809289635395,0.14156443778806457,0.1897,0.0,1.0281,1.0,0.0001,0.0003,0.0007,0.0009,-0.0039,-0.0003,0.0058,-0.0022,-0.0008,-0.0039,-0.01,-0.0004,0.0183,-0.0083,-0.0002,-0.0045,0.0,0.0011,0.0003,0.0017,0.0002,0.0004,-0.0008,-0.0013,-0.0004,0.0026,0.0018,0.0016,0.0014,-0.0012,-0.0762,0.0097,0.029,0.0663,0.1541,0.385,0.2623,-0.9779,-0.0568,1.3613,-0.5992,-0.2284,-1.2711,-3.2746,-0.0986,6.1085,-2.834,0.143,-1.4731,0.0268,0.3833,0.102,0.5615,0.0662,0.1555,-0.2024,-0.4674,0.0556,0.7596,0.6327,0.4403,0.4907,-0.3217,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.709588028602678,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.001030302271221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.788588146573167,7.072780602601978,10.111303125305538,10.564336243672528,-1.0,7.628300520783478,8.616626617619572,-1.0,9.735636753209834,-1.0,7.244441593379396,7.060315135283727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
3,0.006,0.03389151872212227,0.09989249422173992,1.0598005719875605,1.9028373111176236,1.9961622539113777,2.8721892896353953,0.14156443778806457,0.1895,0.0001,1.0282,1.0,0.0002,0.0005,0.0012,0.0016,-0.0059,-0.0004,0.0083,-0.0035,-0.0013,-0.0076,-0.0196,-0.0006,0.0366,-0.0169,0.0008,-0.0088,0.0002,0.0023,0.0006,0.0034,0.0004,0.0009,-0.0012,-0.0028,0.0003,0.0046,0.0038,0.0026,0.0029,-0.0019,-0.1045,0.008,0.037,0.0873,0.1852,0.4755,0.359,-0.9996,-0.0509,1.2564,-0.6654,-0.2269,-1.8178,-4.8152,-0.1193,9.1192,-4.2999,0.5026,-2.1629,0.0777,0.5885,0.1558,0.8238,0.1125,0.2504,-0.1974,-0.7678,0.3521,0.9785,0.9785,0.4881,0.7311,-0.3783,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.226606052851132,-1.0,-1.0,-1.0,6.708771617253632,-1.0,-1.0,-1.0,10.42430751611885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.984788210193624,6.899028207464684,6.83743266103404,10.549143124428031,7.456465491104445,10.897645599064345,11.264515591181,-1.0,8.021375976508773,9.053828664560019,-1.0,10.377847847786976,-1.0,7.529552637590734,7.34884265123862,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
4,0.008,0.03769719334435751,0.10388481872956268,1.0655253305668313,1.9028373111176236,1.9961622539113777,2.852569289635395,0.14156443778806457,0.1893,0.0001,1.0282,1.0,0.0003,0.0007,0.0017,0.0029,-0.0081,-0.0004,0.0108,-0.0043,-0.0017,-0.0123,-0.0322,-0.0009,0.0607,-0.0286,0.0015,-0.0146,0.0004,0.0039,0.001,0.0055,0.0007,0.0016,-0.0016,-0.005,0.0016,0.0069,0.0064,0.0036,0.0047,-0.0028,-0.1314,0.0068,0.036,0.1247,0.2096,0.5833,0.6613,-1.1009,-0.0041,1.2823,-0.37,-0.1945,-2.3868,-6.3121,-0.132,12.0608,-5.8574,0.3522,-2.8686,0.1284,0.7972,0.207,1.0725,0.1519,0.3311,-0.1935,-1.0783,0.649,1.195,1.3053,0.5174,0.9335,-0.433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.919339355697506,-1.0,-1.0,-1.0,6.964769460732229,-1.0,-1.0,-1.0,10.870640847348302,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.342162466362819,7.26016375272409,7.1861177455053165,11.420908362247628,7.879134239081946,11.787789426763993,12.011598239747297,-1.0,8.43549869112114,9.5042754103676,-1.0,11.071552516678095,6.925145606080207,7.815766549133503,7.64114668751524,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
5,0.01,0.04150286796659276,0.10787714323738543,1.071210849146102,1.9028373111176236,1.9961622539113777,2.8329492896353954,0.14156443778806457,0.189,0.0001,1.0283,1.0,0.0005,0.0009,0.0024,0.0049,-0.0103,-0.0004,0.0138,-0.0047,-0.0022,-0.019,-0.048,-0.0016,0.0927,-0.0398,0.0019,-0.0217,0.0008,0.0059,0.0015,0.0081,0.0011,0.0024,-0.002,-0.0078,0.0035,0.0098,0.0096,0.0047,0.0069,-0.0038,-0.1467,0.0131,0.011,0.2021,0.1931,0.6639,1.0096,-1.0862,0.0003,1.5042,-0.2262,-0.2765,-3.3583,-7.879,-0.3857,16.0042,-5.5564,0.2098,-3.5554,0.1951,1.004,0.2525,1.2904,0.1851,0.4016,-0.1904,-1.3955,0.9411,1.4077,1.5879,0.5297,1.1026,-0.4875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.291322287297874,-1.0,-1.0,-1.0,7.231250301351297,-1.0,-1.0,-1.0,11.323511850615903,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.727779827457863,7.648637576712734,7.5607875728324485,12.417587410865034,8.341388339530935,12.7998024672809,12.823268677316621,-1.0,8.877363630407045,9.979930650514493,-1.0,11.82990240991829,7.220753456991456,8.113147502863987,7.945506102218471,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
6,0.012,0.04530854258882801,0.11186946774520819,1.076857127725373,1.9028373111176236,1.9961622539113777,2.813329289635395,0.14156443778806457,0.1886,0.0001,1.0283,1.0,0.0008,0.0011,0.0032,0.0075,-0.0126,-0.0002,0.0173,-0.0049,-0.0029,-0.0265,-0.0667,-0.0024,0.1301,-0.0543,0.002,-0.0302,0.0013,0.0083,0.0021,0.0111,0.0015,0.0033,-0.0024,-0.0112,0.006,0.013,0.0134,0.0058,0.0094,-0.0048,-0.1762,0.0132,-0.0011,0.2399,0.2301,0.7565,1.2795,-1.1634,0.0646,1.7243,-0.0837,-0.3536,-3.7282,-9.3494,-0.3751,18.6974,-7.2785,0.0534,-4.2454,0.2457,1.2052,0.3034,1.4924,0.213,0.4622,-0.1882,-1.7159,1.2237,1.6258,1.8933,0.5297,1.2426,-0.542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.75711466271503,-1.0,-1.0,-1.0,7.512654705896607,-1.0,-1.0,-1.0,11.802294369815508,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.148366640595071,8.074133087524862,7.968409771454382,13.585837856080463,8.858475239074739,13.969172813117822,13.696697269642469,-1.0,9.347749543243127,10.474308636554841,6.726021562705969,12.657981452573525,7.532716702449584,8.415836608748167,8.257346159280662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
7,0.014,0.04911421721106325,0.11586179225303095,1.0824641663046437,1.9028373111176236,1.9961622539113777,2.7937092896353954,0.14156443778806457,0.1882,0.0002,1.0282,1.0,0.0011,0.0014,0.004,0.01,-0.015,-0.0003,0.0204,-0.0061,-0.0039,-0.0346,-0.0884,-0.0033,0.173,-0.0718,0.0018,-0.04,0.0019,0.0111,0.0028,0.0144,0.002,0.0043,-0.0027,-0.0153,0.009,0.0167,0.0177,0.0068,0.0121,-0.006,-0.2104,0.0198,-0.0129,0.3145,0.2876,0.8183,1.2351,-1.1666,-0.0454,1.575,-0.5834,-0.4697,-4.0572,-10.8608,-0.4334,21.4288,-8.7542,-0.1031,-4.912,0.3034,1.4061,0.3495,1.6888,0.2367,0.516,-0.1866,-2.0455,1.5025,1.8409,2.1815,0.5148,1.3585,-0.5983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.18434502943632,-1.0,-1.0,-1.0,7.804377842829835,-1.0,-1.0,-1.0,12.312614285337089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.896346235464299,-1.0,-1.0,8.59786410449349,8.533379579006466,8.403208722889906,14.946337880107293,9.432061121113088,15.29834128951724,14.5946504266853,6.771265559558271,9.831191601561184,10.963251669075248,6.972785498848557,13.530277977557684,7.851746772471827,8.708593722952399,8.561983827632245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
8,0.016,0.0529198918332985,0.1198541167608537,1.0880319648839145,1.9028373111176236,1.9961622539113777,2.7740892896353953,0.14156443778806457,0.1877,0.0002,1.0281,1.0,0.0015,0.0018,0.0054,0.009,-0.0182,-0.0005,0.0263,-0.0071,-0.0049,-0.0442,-0.112,-0.0047,0.22,-0.0881,0.0012,-0.052,0.0025,0.0141,0.0038,0.0183,0.0024,0.0053,-0.0035,-0.0196,0.0125,0.0208,0.0224,0.0085,0.0151,-0.0076,-0.244,0.0309,-0.048,0.4245,0.3732,1.4456,-0.4845,-1.6287,-0.0745,2.9277,-0.5201,-0.518,-4.7802,-11.7902,-0.7231,23.5061,-8.1471,-0.2866,-5.9918,0.2799,1.502,0.4899,1.9016,0.2227,0.5117,-0.3828,-2.1596,1.759,2.0318,2.3193,0.8724,1.4633,-0.7931,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.59235281388256,-1.0,-1.0,-1.0,8.104898347876077,-1.0,-1.0,-1.0,12.822265187755113,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.228424032764603,-1.0,-1.0,9.087589754464437,9.039248495552993,8.878251889388364,16.578721316051396,10.07192237499541,16.867833742234343,15.57092740569807,6.989681813849469,10.347635856841679,11.473811302744163,7.228143245843323,14.492804225550815,8.185243658663321,9.005380093565002,8.8743136042331,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
9,0.018,0.05672556645553375,0.12384644126867644,1.093560523463185,1.9028373111176236,1.9961622539113777,2.754469289635395,0.14156443778806457,0.1872,0.0003,1.028,1.0,0.0021,0.0022,0.0074,0.0064,-0.0223,-0.0009,0.0333,-0.0099,-0.006,-0.0547,-0.1369,-0.0068,0.2699,-0.1032,0.0003,-0.0659,0.003,0.0173,0.0051,0.0225,0.0028,0.0064,-0.0046,-0.0242,0.0165,0.0252,0.0273,0.0109,0.0181,-0.0096,-0.2696,0.0459,-0.0779,0.5624,0.4308,1.9524,-1.2936,-2.0493,-0.2181,3.5255,-1.418,-0.5265,-5.2823,-12.4654,-1.0577,24.9481,-7.5169,-0.4582,-6.9681,0.2858,1.5896,0.6223,2.1323,0.2145,0.5195,-0.5552,-2.2647,2.016,2.224,2.4664,1.2066,1.5323,-0.9634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,6.8010537856947035,8.411917767908456,-1.0,-1.0,-1.0,13.337636314868647,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.584354776275261,-1.0,-1.0,9.611803530799419,9.589779810186753,9.38842788756923,18.537648047931796,10.781971646304264,18.700883703091215,16.586117882515158,7.204576750538347,10.881316329950733,11.980923525865933,7.483934468083737,15.520010115986151,8.523722495610041,9.290824145808662,9.179498245329677,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
10,0.02,0.060531241077769,0.12783876577649922,1.099049842042456,1.9028373111176236,1.9961622539113777,2.7348492896353953,0.14156443778806457,0.1866,0.0004,1.0278,0.9999,0.0028,0.0026,0.0097,0.0041,-0.0272,-0.0019,0.0416,-0.0146,-0.0072,-0.0659,-0.1628,-0.0096,0.3217,-0.1169,-0.0008,-0.0815,0.0037,0.0207,0.0066,0.0273,0.0032,0.0075,-0.006,-0.0289,0.021,0.03,0.0325,0.0139,0.0213,-0.0118,-0.2838,0.0643,-0.1079,0.7116,0.4465,2.2873,-1.1422,-2.4372,-0.4714,4.1053,-2.3263,-0.5938,-5.5761,-12.933,-1.4183,25.9128,-6.8763,-0.5594,-7.7992,0.326,1.6751,0.7521,2.3686,0.2097,0.5321,-0.7037,-2.3621,2.2687,2.4219,2.6249,1.4942,1.5763,-1.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,6.988532027212509,8.730390377007183,-1.0,-1.0,-1.0,13.868725410279472,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.975059592846037,-1.0,6.675031702885194,10.190252821842659,10.205393555763537,9.952221128389379,20.99314285756467,11.594470551643742,20.928841312203275,17.673866698819506,7.423020354599939,11.449191796555764,12.501073704629501,7.748190729944736,16.64945944111669,8.877998496506976,9.575641169473352,9.488025187414419,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9028373111176236,1.9961622539113777,2.9114292896353953
