step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,-1.104587190905355,-0.09535463011721507,1.3217474987486142,7.492619094439042,1.4593559354076044,0.44809561804996356,0.04231615731584778,0.19,0.0,1.028,1.0,0.0,0.0,0.0001,0.0002,-0.0001,-0.0001,0.0002,0.0,-0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0,-0.0001,-0.0004,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,-0.0003,-0.0001,0.0001,0.0002,-0.0001,0.0,0.0,-0.0009,0.008,-0.0004,0.0356,-0.006,0.0951,0.1075,-0.0684,-0.0494,0.0826,-0.0001,-0.0748,-0.1796,0.0258,-0.0579,-0.0295,-0.0243,-0.0404,-0.1792,-0.0176,-0.0103,0.044,0.0686,-0.0213,0.0131,0.0189,-0.1383,-0.0701,0.037,0.1125,-0.027,0.0228,0.0141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
2,0.004,-1.089601952716477,-0.09243591824639985,1.322624069984714,7.492619094439042,1.4593559354076044,0.42847561804996354,0.04231615731584778,0.19,0.0001,1.028,1.0,0.0001,0.0,0.0003,0.0005,-0.0005,-0.0003,0.0007,0.0,0.0002,-0.0004,0.0003,-0.0004,-0.0001,-0.0003,0.0,-0.001,0.0,-0.0002,0.0001,0.0003,-0.0001,0.0001,0.0001,-0.0005,-0.0005,0.0001,0.0003,-0.0001,0.0001,0.0001,0.0022,0.0172,0.0015,0.0569,-0.0432,0.2277,0.1353,-0.1796,-0.1017,0.2637,0.0167,0.1792,-0.0311,0.1367,-0.1242,-0.0241,-0.1114,0.0183,-0.3012,0.0155,-0.0931,0.0126,0.0843,-0.0209,0.0161,0.017,-0.106,-0.1602,0.002,0.0514,-0.0267,0.0239,0.0124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
3,0.006,-1.0746167145275989,-0.08951720637558465,1.3234614012208141,7.492619094439042,1.4593559354076044,0.40885561804996357,0.04231615731584778,0.19,0.0001,1.028,1.0,0.0002,-0.0002,0.0007,0.0007,-0.0007,-0.0005,0.0013,0.0,0.0005,-0.0013,0.0007,-0.0006,0.0002,-0.0012,0.0,-0.0014,0.0,-0.0005,0.0001,0.0005,-0.0001,0.0001,0.0001,-0.0006,-0.0009,0.0,0.0005,-0.0002,0.0001,0.0001,0.0132,0.0204,0.0038,0.06,-0.1261,0.3346,0.0973,-0.1127,-0.112,0.295,-0.0175,0.1567,-0.4295,0.1858,-0.1361,0.1603,-0.4537,0.0089,-0.2212,-0.0032,-0.1681,-0.0008,0.0963,-0.0196,0.0176,0.0152,-0.0382,-0.2303,-0.0163,0.1101,-0.025,0.028,0.0108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
4,0.008,-1.059631476338721,-0.08659849450476945,1.324259492456914,7.492619094439042,1.4593559354076044,0.38923561804996354,0.04231615731584778,0.1901,0.0001,1.028,1.0,0.0002,-0.0004,0.001,0.0008,-0.0008,-0.0008,0.0019,-0.0001,0.0008,-0.0034,0.001,-0.0011,0.0011,-0.0019,0.0,-0.0016,0.0,-0.001,0.0001,0.0007,-0.0002,0.0001,0.0001,-0.0005,-0.0015,0.0,0.0008,-0.0002,0.0002,0.0001,0.0261,0.0256,-0.0027,0.0876,-0.2133,0.3823,0.079,-0.0161,-0.1531,0.3166,-0.0557,0.1395,-1.0832,0.1597,-0.2238,0.4657,-0.3828,0.0281,-0.1097,-0.0108,-0.2274,-0.0146,0.1021,-0.0186,0.0188,0.0137,0.0088,-0.2865,-0.0344,0.1431,-0.0237,0.031,0.0095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
5,0.01,-1.0446462381498427,-0.08367978263395423,1.3250183436930139,7.492619094439042,1.4593559354076044,0.36961561804996357,0.04231615731584778,0.1902,0.0002,1.028,1.0,0.0004,-0.0007,0.0015,0.001,-0.0006,-0.0012,0.0026,-0.0003,0.001,-0.0067,0.0013,-0.0017,0.0026,-0.0026,0.0001,-0.0016,-0.0001,-0.0016,0.0,0.0009,-0.0002,0.0002,0.0002,-0.0005,-0.0022,-0.0001,0.0012,-0.0003,0.0003,0.0001,0.0372,0.0301,-0.0092,0.113,-0.2897,0.4237,0.0565,0.066,-0.1901,0.3432,-0.0919,0.1222,-1.6344,0.1385,-0.3039,0.7172,-0.3181,0.0488,-0.0081,-0.0168,-0.2794,-0.0267,0.1059,-0.0177,0.0197,0.0123,0.046,-0.3368,-0.0503,0.1713,-0.0227,0.0335,0.0084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
6,0.012,-1.0296609999609647,-0.08076107076313901,1.325737954929114,7.492619094439042,1.4593559354076044,0.34999561804996354,0.04231615731584778,0.1902,0.0003,1.028,1.0,0.0005,-0.001,0.002,0.001,-0.0004,-0.0016,0.0034,-0.0005,0.0012,-0.0103,0.0017,-0.0023,0.0042,-0.0038,0.0007,-0.0015,-0.0001,-0.0022,0.0,0.0011,-0.0002,0.0002,0.0002,-0.0003,-0.0029,-0.0003,0.0016,-0.0003,0.0004,0.0001,0.0432,0.0316,-0.0088,0.1148,-0.3426,0.5105,0.0026,0.0967,-0.1943,0.3854,-0.121,0.1007,-1.7685,0.196,-0.3073,0.7963,-0.5937,0.2806,0.0455,-0.0301,-0.3306,-0.0364,0.1103,-0.0168,0.0203,0.0112,0.0832,-0.3871,-0.0633,0.2089,-0.0215,0.0359,0.0074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
7,0.014,-1.0146757617720865,-0.07784235889232381,1.3264183261652138,7.492619094439042,1.4593559354076044,0.33037561804996357,0.04231615731584778,0.1903,0.0003,1.028,1.0,0.0006,-0.0014,0.0026,0.0009,-0.0002,-0.002,0.0042,-0.0008,0.0014,-0.014,0.0022,-0.0029,0.0059,-0.0053,0.0017,-0.0014,-0.0002,-0.003,-0.0001,0.0014,-0.0003,0.0003,0.0002,-0.0001,-0.0038,-0.0004,0.0021,-0.0003,0.0004,0.0001,0.0481,0.0327,-0.0074,0.1128,-0.3883,0.5945,-0.0504,0.1199,-0.1934,0.4243,-0.1455,0.0796,-1.8495,0.2415,-0.3102,0.8475,-0.7487,0.5128,0.0926,-0.0421,-0.3778,-0.0453,0.1138,-0.0161,0.0208,0.0102,0.114,-0.4345,-0.0752,0.2427,-0.0205,0.038,0.0065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
8,0.016,-0.9996905235832085,-0.07492364702150861,1.3270594574013137,7.492619094439042,1.4593559354076044,0.31075561804996354,0.04231615731584778,0.1904,0.0003,1.028,1.0,0.0006,-0.0015,0.0031,0.0016,-0.0014,-0.002,0.006,-0.0015,0.001,-0.0169,0.0013,-0.003,0.008,-0.0062,0.0025,-0.0017,0.0005,-0.0033,0.0001,0.0006,-0.0003,-0.0005,0.0004,0.0002,-0.005,0.0004,0.0029,0.0004,-0.0003,0.0009,0.0091,0.0082,0.0026,-0.0053,-0.0429,0.5137,0.3672,-0.6101,0.0179,0.884,-0.3269,-0.2243,-1.4843,-0.4287,-0.0542,1.0716,-0.4559,0.4177,-0.1463,0.3697,-0.1416,0.1235,-0.3781,-0.0382,-0.3579,0.0814,0.1446,-0.5892,0.3975,0.4338,0.3517,-0.3468,0.3693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
9,0.018,-0.9847052853943303,-0.0720049351506934,1.3276613486374136,7.492619094439042,1.4593559354076044,0.2911356180499636,0.04231615731584778,0.1903,0.0003,1.028,1.0,0.0005,-0.0012,0.0036,0.003,-0.0038,-0.0015,0.0086,-0.0025,-0.0001,-0.0189,-0.0001,-0.0027,0.0098,-0.007,0.0029,-0.0026,0.0021,-0.0031,0.0007,-0.0011,-0.0005,-0.0019,0.0006,0.0006,-0.0062,0.002,0.0043,0.0018,-0.0017,0.0023,-0.0181,-0.0164,0.0157,-0.1216,0.2263,0.5038,0.7041,-1.2165,0.2228,1.2953,-0.508,-0.5051,-0.9895,-0.7161,0.1615,0.9088,-0.3913,0.1638,-0.4848,0.8002,0.083,0.3072,-0.8353,-0.0612,-0.7274,0.1379,0.1678,-0.6258,0.7966,0.6569,0.7159,-0.7205,0.7228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
10,0.02,-0.9697200472054524,-0.06908622327987818,1.3282239998735135,7.492619094439042,1.4593559354076044,0.2715156180499635,0.04231615731584778,0.1903,0.0002,1.028,1.0,0.0001,-0.0008,0.0043,0.0068,-0.0077,-0.0002,0.0121,-0.0022,-0.0014,-0.02,-0.0013,-0.0018,0.0105,-0.0077,0.0026,-0.0046,0.0046,-0.0033,0.0022,-0.0037,-0.0006,-0.0041,0.001,0.001,-0.0074,0.0042,0.0061,0.0039,-0.0038,0.0045,-0.0252,-0.0438,0.0092,-0.3185,0.3856,0.6956,1.9203,-1.9284,0.6524,1.7717,0.1355,-0.6683,-0.5305,-0.589,0.4717,0.3607,-0.3641,-0.1141,-0.9699,1.2106,-0.1148,0.7409,-1.3065,-0.082,-1.088,0.1832,0.2358,-0.591,1.1175,0.896,1.073,-1.0458,1.0671,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.492619094439042,1.4593559354076044,0.44809561804996356
