step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,0.8987665717548168,-0.2749323209611769,1.2435887919149782,-3.492650010902792,1.4316222896259903,3.1905788981547545,0.12001444331940626,0.1899,0.0,1.028,1.0,0.0001,0.0002,-0.0002,-0.0003,-0.0019,-0.0002,0.0028,-0.0012,-0.0003,0.0002,-0.0033,-0.0003,0.0054,-0.0024,0.0001,0.0005,-0.0004,0.0001,-0.0005,0.0006,-0.0002,0.0002,-0.0005,-0.0006,-0.0006,0.0001,0.0006,-0.0001,0.0,0.0006,-0.0643,0.0191,0.0104,0.0864,0.1991,-0.1811,-0.1537,-0.938,-0.1092,1.4156,-0.6018,-0.1704,0.1085,-1.6686,-0.1438,2.6892,-1.1862,0.0261,0.2626,-0.2166,0.0254,-0.2678,0.3232,-0.1033,0.0805,-0.2484,-0.2859,-0.2771,0.0389,0.289,-0.0725,-0.0109,0.2795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
2,0.004,0.8917812717330112,-0.27206907638192496,1.2499503297112877,-3.492650010902792,1.4316222896259903,3.1709588981547543,0.12001444331940626,0.1896,0.0001,1.0281,1.0,0.0003,0.0006,0.0002,-0.0016,-0.0071,-0.001,0.011,-0.0044,0.0,-0.0005,-0.0096,-0.0011,0.0156,-0.0069,0.001,-0.0013,-0.0006,0.0004,-0.0013,0.0017,0.0003,0.0,-0.0011,-0.0025,-0.0013,0.0001,0.002,-0.0007,-0.0004,0.001,-0.137,0.0469,0.0221,0.2373,0.3977,0.4099,-0.6511,-2.5902,-0.3784,4.0635,-1.5956,0.1746,-0.3835,-3.1075,-0.4011,5.0908,-2.2447,0.4559,-0.9339,-0.0588,0.1638,-0.3951,0.5453,0.2686,-0.0592,-0.3162,-0.9757,-0.3625,0.0052,0.6943,-0.2999,-0.1807,0.2223,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
3,0.006,0.8847959717112056,-0.269205831802673,1.2562726275075973,-3.492650010902792,1.4316222896259903,3.1513388981547545,0.12001444331940626,0.1892,0.0003,1.0281,1.0,0.0007,0.0012,0.0008,-0.0035,-0.0143,-0.0022,0.0224,-0.0093,0.0006,-0.0016,-0.0187,-0.0024,0.0307,-0.0139,0.0024,-0.004,-0.0007,0.0006,-0.0024,0.0034,0.0016,0.0007,-0.0018,-0.0054,-0.0023,-0.0001,0.004,-0.0017,-0.0008,0.0015,-0.1976,0.0759,0.0265,0.3802,0.5623,0.5601,-0.9321,-3.6132,-0.6171,5.7221,-2.447,0.3049,-0.5149,-4.5735,-0.6315,7.5756,-3.5076,0.7213,-1.316,-0.0969,0.1289,-0.5296,0.8142,0.6342,0.3038,-0.3486,-1.4421,-0.5223,-0.0994,1.0158,-0.4645,-0.1913,0.2284,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
4,0.008,0.8778106716894001,-0.26634258722342097,1.2625556853039068,-3.492650010902792,1.4316222896259903,3.1317188981547543,0.12001444331940626,0.1887,0.0005,1.0282,1.0,0.0012,0.0019,0.0015,-0.0059,-0.0234,-0.0039,0.0368,-0.0157,0.0015,-0.0028,-0.0303,-0.0041,0.0501,-0.0229,0.0041,-0.0074,-0.001,0.0008,-0.0037,0.0055,0.0036,0.002,-0.0026,-0.0092,-0.0037,-0.0005,0.0067,-0.0029,-0.0012,0.0019,-0.2516,0.1053,0.0281,0.5242,0.7035,0.7391,-1.217,-4.5368,-0.8565,7.219,-3.1855,0.419,-0.6017,-5.8195,-0.8594,9.6794,-4.5124,0.8572,-1.7346,-0.1231,0.0882,-0.6575,1.0783,0.9927,0.6547,-0.3756,-1.9028,-0.6785,-0.2005,1.3346,-0.6047,-0.1974,0.2336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
5,0.01,0.8708253716675944,-0.263479342644169,1.2687995031002162,-3.492650010902792,1.4316222896259903,3.1120988981547546,0.12001444331940626,0.1881,0.0008,1.0282,1.0,0.0019,0.0027,0.0024,-0.0091,-0.034,-0.0062,0.0549,-0.0218,0.0022,-0.0041,-0.0441,-0.0062,0.073,-0.0336,0.0061,-0.0117,-0.0013,0.0009,-0.0053,0.0082,0.0063,0.0039,-0.0034,-0.0139,-0.0054,-0.0011,0.01,-0.0043,-0.0016,0.0024,-0.2973,0.1358,0.0194,0.6591,0.8139,0.8834,-1.6203,-5.3415,-1.1365,9.0469,-3.0508,0.3809,-0.6336,-6.8681,-1.0789,11.4643,-5.3531,0.9894,-2.1249,-0.1412,0.0384,-0.7803,1.3239,1.3442,0.9561,-0.3977,-2.3582,-0.838,-0.2969,1.6438,-0.7238,-0.2017,0.2381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
6,0.012,0.8638400716457889,-0.26061609806491703,1.2750040808965257,-3.492650010902792,1.4316222896259903,3.0924788981547544,0.12001444331940626,0.1874,0.0011,1.0282,1.0,0.0027,0.0036,0.0035,-0.0132,-0.0462,-0.0091,0.0762,-0.0276,0.0029,-0.0048,-0.0594,-0.0091,0.0989,-0.0463,0.0078,-0.0168,-0.0016,0.0009,-0.0071,0.0113,0.0097,0.0063,-0.0042,-0.0196,-0.0073,-0.0019,0.0138,-0.006,-0.002,0.0029,-0.3391,0.1699,0.0006,0.8169,0.9104,1.085,-2.0322,-6.0608,-1.4454,10.6489,-2.9026,0.3442,-0.3579,-7.6405,-1.4226,12.9555,-6.321,0.8703,-2.5666,-0.1609,-0.0112,-0.9063,1.561,1.6888,1.2153,-0.4158,-2.8105,-0.9943,-0.3959,1.9259,-0.825,-0.2053,0.2419,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
7,0.014,0.8568547716239833,-0.257752853485665,1.2811694186928353,-3.492650010902792,1.4316222896259903,3.0728588981547547,0.12001444331940626,0.1868,0.0015,1.0282,1.0,0.0036,0.0044,0.0043,-0.0183,-0.0559,-0.0121,0.0927,-0.0331,0.0037,-0.0048,-0.0758,-0.0124,0.1278,-0.0607,0.0094,-0.0219,-0.0019,0.0006,-0.0091,0.015,0.0124,0.0086,-0.0055,-0.0259,-0.0097,-0.0028,0.0184,-0.0076,-0.0024,0.004,-0.3377,0.1929,-0.0162,0.9213,0.8079,0.8478,-2.5664,-4.861,-1.5117,8.2532,-2.787,0.3851,-0.0055,-8.2028,-1.6619,14.4516,-7.2446,0.7605,-2.538,-0.1715,-0.1196,-0.9904,1.859,1.3941,1.1265,-0.6466,-3.193,-1.1632,-0.4273,2.281,-0.7962,-0.1928,0.5392,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
8,0.016,0.8498694716021777,-0.25488960890641305,1.2872955164891449,-3.492650010902792,1.4316222896259903,3.0532388981547545,0.12001444331940626,0.1861,0.0019,1.0281,1.0,0.0047,0.0051,0.005,-0.0244,-0.0633,-0.0154,0.1048,-0.0385,0.0045,-0.0046,-0.0932,-0.0165,0.1601,-0.0753,0.0108,-0.0269,-0.0023,0.0002,-0.0113,0.0193,0.0147,0.0107,-0.0072,-0.0331,-0.0123,-0.0036,0.0236,-0.0091,-0.0027,0.0056,-0.3306,0.2207,-0.0422,1.0604,0.6887,0.6196,-3.0127,-3.7256,-1.634,6.0529,-2.6555,0.4099,0.1098,-8.7058,-2.0717,16.1563,-7.2728,0.735,-2.506,-0.1849,-0.198,-1.1004,2.1557,1.1341,1.0514,-0.8549,-3.5656,-1.3346,-0.4325,2.6056,-0.7722,-0.1805,0.806,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
9,0.018,0.8428841715803721,-0.2520263643271611,1.2933823742854542,-3.492650010902792,1.4316222896259903,3.0336188981547543,0.12001444331940626,0.1854,0.0024,1.028,1.0,0.0059,0.0057,0.0054,-0.0312,-0.0694,-0.019,0.1137,-0.0432,0.0052,-0.004,-0.1116,-0.0215,0.1953,-0.0898,0.0122,-0.0319,-0.0028,-0.0002,-0.0138,0.0242,0.0165,0.0126,-0.0093,-0.0409,-0.0154,-0.0044,0.0293,-0.0106,-0.0031,0.0077,-0.336,0.249,-0.0706,1.2025,0.6537,0.4551,-3.418,-3.017,-1.8032,4.4283,-2.3601,0.3632,0.2928,-9.2106,-2.4926,17.5805,-7.2652,0.7094,-2.484,-0.244,-0.2305,-1.2555,2.4278,0.9024,0.984,-1.0448,-3.9116,-1.5267,-0.3967,2.882,-0.7519,-0.1698,1.0466,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
10,0.02,0.8358988715585665,-0.24916311974790908,1.2994299920817638,-3.492650010902792,1.4316222896259903,3.0139988981547545,0.12001444331940626,0.1847,0.003,1.0278,0.9999,0.0072,0.0065,0.0058,-0.0384,-0.0758,-0.0229,0.1227,-0.0475,0.0059,-0.0029,-0.1311,-0.0274,0.2327,-0.1043,0.0136,-0.0369,-0.0036,-0.0006,-0.0167,0.0295,0.0179,0.0145,-0.0117,-0.0493,-0.0189,-0.005,0.0355,-0.0121,-0.0034,0.0102,-0.3613,0.2754,-0.1016,1.3433,0.7232,0.4406,-3.6012,-3.1973,-1.972,4.4887,-2.1485,0.3176,0.5148,-9.7328,-2.9236,18.7288,-7.2254,0.6838,-2.5328,-0.3776,-0.1948,-1.4735,2.6751,0.6932,0.922,-1.2197,-4.2279,-1.7457,-0.3132,3.1027,-0.7346,-0.1616,1.265,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.492650010902792,1.4316222896259903,3.1905788981547545
