step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,0.11423916681324317,1.036987128068185,1.3155319592997698,-0.2753171140805066,-7.469068369196428,1.2372935126438651,0.060340045098720096,0.19,0.0,1.028,1.0,0.0,0.0001,0.0,0.0004,-0.0005,0.0,0.0003,0.0003,-0.0004,-0.0009,-0.0004,0.0001,0.0,0.0004,-0.0003,0.0,0.0004,0.0,0.0002,0.0002,-0.0001,0.0001,0.0001,0.0002,-0.0001,0.0002,0.0004,-0.0001,0.0001,0.0001,-0.005,-0.0011,0.0075,-0.0057,0.0967,0.0399,0.2033,-0.2305,0.0054,0.1256,0.1403,-0.2087,-0.4313,-0.1807,0.0254,-0.0007,0.1987,-0.1624,-0.0057,0.176,0.0238,0.0768,0.109,-0.0415,0.0362,0.0414,0.0843,-0.0464,0.1001,0.2125,-0.0521,0.0568,0.0327,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
2,0.004,0.11368853258508216,1.022048991329792,1.3179869263250577,-0.2753171140805066,-7.469068369196428,1.2176735126438651,0.060340045098720096,0.1899,0.0,1.028,1.0,0.0,0.0004,0.0001,0.0013,-0.0017,-0.0001,0.0008,0.0006,-0.0008,-0.0018,-0.0014,0.0001,0.0003,0.0009,-0.0005,0.0,0.0011,-0.0001,0.0003,0.0007,-0.0002,0.0002,0.0001,0.0007,-0.0005,0.0004,0.001,-0.0002,0.0003,0.0001,-0.0229,0.0048,0.0112,0.0044,0.2911,0.0295,0.4241,-0.6087,-0.0304,0.275,0.1823,-0.1978,-0.4736,-0.544,0.019,0.1746,0.2355,-0.1068,0.007,0.3655,-0.0864,0.0635,0.2386,-0.0487,0.0416,0.0257,0.2681,-0.2031,0.0778,0.3088,-0.0632,0.0696,0.0163,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
3,0.006,0.11313789835692115,1.0071108545913994,1.3204026533503452,-0.2753171140805066,-7.469068369196428,1.1980535126438652,0.060340045098720096,0.1899,0.0,1.0281,1.0,0.0,0.0009,0.0001,0.0025,-0.0036,-0.0002,0.0016,0.0011,-0.0012,-0.0028,-0.0031,0.0001,0.0009,0.0014,-0.0007,0.0001,0.0022,-0.0005,0.0004,0.0014,-0.0003,0.0002,0.0002,0.0016,-0.0012,0.0005,0.0018,-0.0004,0.0004,0.0001,-0.0382,0.01,0.0149,0.0166,0.4706,0.0164,0.6237,-0.9484,-0.0669,0.4006,0.219,-0.1805,-0.5014,-0.8478,0.009,0.281,0.2836,-0.0594,0.0291,0.558,-0.1805,0.0501,0.3717,-0.0548,0.0462,0.0124,0.46,-0.3376,0.0562,0.388,-0.0727,0.0803,0.0023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
4,0.008,0.11258726412876013,0.9921727178530064,1.322779140375633,-0.2753171140805066,-7.469068369196428,1.1784335126438652,0.060340045098720096,0.1898,0.0001,1.0281,1.0,0.0,0.0015,0.0001,0.0041,-0.0061,-0.0004,0.0026,0.0016,-0.0015,-0.0038,-0.0053,0.0001,0.0016,0.0021,-0.0007,0.0002,0.0037,-0.001,0.0005,0.0025,-0.0004,0.0003,0.0002,0.0029,-0.0021,0.0005,0.0027,-0.0005,0.0006,0.0001,-0.0513,0.0147,0.0183,0.0303,0.6367,0.0017,0.8045,-1.2535,-0.104,0.5045,0.2526,-0.1585,-0.5175,-1.0996,-0.0038,0.328,0.3411,-0.0199,0.0613,0.7451,-0.2609,0.0366,0.5088,-0.0601,0.0503,0.0009,0.6598,-0.4534,0.0349,0.4512,-0.0808,0.0893,-0.0096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
5,0.01,0.11203662990059912,0.9772345811146136,1.3251163874009209,-0.2753171140805066,-7.469068369196428,1.158813512643865,0.060340045098720096,0.1896,0.0001,1.0282,1.0,0.0,0.0023,0.0003,0.0046,-0.0089,-0.0003,0.0035,0.0022,-0.0019,-0.0063,-0.0083,0.0004,0.0027,0.0029,0.0,0.0001,0.0054,-0.0017,0.0005,0.0037,-0.0005,0.0005,0.0001,0.0048,-0.0032,0.0006,0.0039,-0.0007,0.0008,0.0,-0.0647,0.0028,0.0262,-0.0648,0.7986,0.2423,0.2404,-1.4296,0.0565,0.4618,0.3195,-0.1902,-1.2082,-1.4844,0.162,0.5835,0.3692,0.3367,-0.0412,0.8441,-0.3312,0.0105,0.6448,-0.0608,0.0596,-0.0077,0.9286,-0.5594,0.0094,0.5977,-0.0836,0.0984,-0.0181,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
6,0.012,0.11148599567243811,0.9622964443762207,1.3274143944262085,-0.2753171140805066,-7.469068369196428,1.139193512643865,0.060340045098720096,0.1895,0.0,1.0282,1.0,-0.0002,0.0032,0.0007,0.0042,-0.012,0.0001,0.0043,0.003,-0.0023,-0.0107,-0.0121,0.0012,0.0043,0.0035,0.001,-0.0001,0.0073,-0.0024,0.0004,0.0053,-0.0007,0.0006,0.0001,0.0072,-0.0045,0.0005,0.0053,-0.0009,0.001,0.0,-0.0728,-0.0103,0.0276,-0.1394,0.9363,0.407,-0.1979,-1.5387,0.1881,0.3679,0.3744,-0.1964,-2.203,-1.8776,0.4109,0.7879,0.3127,0.4977,-0.0783,0.953,-0.3872,-0.0151,0.7811,-0.0616,0.065,-0.0151,1.194,-0.6483,-0.0167,0.7071,-0.0861,0.1055,-0.0253,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
7,0.014,0.1109353614442771,0.9473583076378279,1.3296731614514963,-0.2753171140805066,-7.469068369196428,1.119573512643865,0.060340045098720096,0.1893,0.0,1.0283,1.0,-0.0004,0.0043,0.0012,0.0023,-0.0151,0.001,0.0046,0.0036,-0.0029,-0.0168,-0.0166,0.0026,0.0063,0.004,0.0023,-0.0002,0.0094,-0.0033,0.0004,0.0071,-0.0008,0.0007,0.0001,0.0101,-0.006,0.0004,0.0069,-0.0011,0.0012,-0.0001,-0.0828,-0.0269,0.0205,-0.2421,1.0755,0.5038,-0.9364,-1.5575,0.4519,0.1739,0.3055,-0.3002,-3.0872,-2.2662,0.7002,0.9857,0.2751,0.6409,-0.0503,1.054,-0.4474,-0.0341,0.8914,-0.0623,0.0676,-0.0214,1.4538,-0.739,-0.038,0.7912,-0.088,0.1111,-0.0315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
8,0.016,0.11038472721611609,0.9324201708994351,1.331892688476784,-0.2753171140805066,-7.469068369196428,1.099953512643865,0.060340045098720096,0.1891,-0.0001,1.0283,1.0,-0.0007,0.0055,0.0019,-0.0002,-0.0184,0.0021,0.0047,0.0044,-0.0034,-0.0247,-0.0218,0.0045,0.0086,0.0046,0.0038,-0.0003,0.0117,-0.0044,0.0003,0.0091,-0.0009,0.0009,0.0,0.0135,-0.0076,0.0003,0.0087,-0.0012,0.0015,-0.0001,-0.0881,-0.04,0.0249,-0.3158,1.1971,0.6496,-1.2684,-1.623,0.5691,0.0296,0.4024,-0.2611,-3.9512,-2.5974,0.9452,1.1549,0.29,0.773,-0.0649,1.1654,-0.5107,-0.0602,1.0162,-0.0628,0.0711,-0.0269,1.7149,-0.8296,-0.0669,0.8716,-0.0897,0.116,-0.0368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
9,0.018,0.10983409298795506,0.9174820341610422,1.3340729755020715,-0.2753171140805066,-7.469068369196428,1.0803335126438651,0.060340045098720096,0.189,-0.0002,1.0284,1.0,-0.0011,0.0068,0.0027,-0.0033,-0.0217,0.0035,0.0044,0.0054,-0.0038,-0.0343,-0.0276,0.0069,0.0112,0.0055,0.0055,-0.0004,0.0143,-0.0055,0.0001,0.0114,-0.001,0.001,0.0,0.0175,-0.0095,0.0001,0.0105,-0.0014,0.0017,-0.0002,-0.0921,-0.0524,0.0287,-0.3844,1.3105,0.7715,-1.5535,-1.6686,0.6803,-0.1316,0.4961,-0.2116,-4.7818,-2.9108,1.1688,1.3156,0.4548,0.8589,-0.0613,1.2829,-0.5697,-0.0837,1.1202,-0.0632,0.0739,-0.0315,1.963,-0.9139,-0.0944,0.9397,-0.0911,0.1201,-0.0414,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
10,0.02,0.10928345875979405,0.9025438974226493,1.3362140225273593,-0.2753171140805066,-7.469068369196428,1.0607135126438652,0.060340045098720096,0.1888,-0.0003,1.0284,1.0,-0.0015,0.0082,0.0033,-0.0057,-0.0253,0.0048,0.0044,0.0062,-0.0043,-0.0445,-0.0336,0.0093,0.0136,0.0067,0.0071,-0.0003,0.0171,-0.0066,0.0001,0.0137,-0.0012,0.0012,0.0,0.0213,-0.0113,0.0001,0.0128,-0.0017,0.002,-0.0002,-0.0933,-0.0536,0.0239,-0.366,1.3578,0.6463,-1.1965,-1.7907,0.6299,-0.0153,0.4253,-0.2377,-5.0794,-2.9824,1.2288,1.2141,0.5784,0.8012,0.0633,1.4125,-0.5303,-0.0064,1.189,-0.0976,0.1031,0.0134,1.9312,-0.9295,-0.0055,1.1542,-0.1331,0.1673,-0.0042,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2753171140805066,-7.469068369196428,1.2372935126438651
